sciNameID,relationshipOfAssociate,associateSciNameID
ff627ef1896641b8af4bfc04573754e3,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,b543bab33cf044adaaa147db5ae02e07
b543bab33cf044adaaa147db5ae02e07,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,29bd01f83d884508b1e6b3059d3d76cd
29bd01f83d884508b1e6b3059d3d76cd,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,d28ff028222641509fb0d5b02663d153
d28ff028222641509fb0d5b02663d153,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,e7efe2f4a12c478299bfd8e9a81778fc
e7efe2f4a12c478299bfd8e9a81778fc,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
286d722383dd435083ab8b7008b4a102,host plant of,ae9347c648da4db48a86e8253d1e5c7f
ae9347c648da4db48a86e8253d1e5c7f,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,753549d6c4024957add8a49e4ae3b798
753549d6c4024957add8a49e4ae3b798,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,57aceabc91124f08a472d45a1fd0022f
57aceabc91124f08a472d45a1fd0022f,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,397b8c0a648e4132b1379b6d070c4f9c
397b8c0a648e4132b1379b6d070c4f9c,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,44b2f9d579214517b1d549685b78b466
44b2f9d579214517b1d549685b78b466,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,653cb1039d1c4cbeb61be2369de78be1
653cb1039d1c4cbeb61be2369de78be1,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,570f1904360c4b61b8415b95d619d08c
570f1904360c4b61b8415b95d619d08c,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,3c934a1fd63f40d4969ce7e02a988b83
3c934a1fd63f40d4969ce7e02a988b83,herbivore of,286d722383dd435083ab8b7008b4a102
286d722383dd435083ab8b7008b4a102,host plant of,268b368765e94eb18960ff7931e7e8df
268b368765e94eb18960ff7931e7e8df,herbivore of,286d722383dd435083ab8b7008b4a102
720a70103ac74d9b97452c8f862eebc0,host plant of,c271204e1d4542f9acbfff5fd560ab64
c271204e1d4542f9acbfff5fd560ab64,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,1e02c9c91085410092b1dcfa20c2be82
1e02c9c91085410092b1dcfa20c2be82,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,93b3b730ce8d44d592281add2e5ca264
93b3b730ce8d44d592281add2e5ca264,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,b9f55c9a77304db3a237805d7fe8129f
b9f55c9a77304db3a237805d7fe8129f,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,6f6a31d9fd3b43b697b14b7c37b2a8f8
6f6a31d9fd3b43b697b14b7c37b2a8f8,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,7d3b3ec8605a47ab8417a79e09a3135d
7d3b3ec8605a47ab8417a79e09a3135d,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,ee7c1796b0e04fda9e515662399e790d
ee7c1796b0e04fda9e515662399e790d,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,9dcf368026a240ffaa94091f27585df6
9dcf368026a240ffaa94091f27585df6,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,6e1477938a214c5593440e40e6e2318a
6e1477938a214c5593440e40e6e2318a,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,d69744f411f542669cf28715cd9fe7f8
d69744f411f542669cf28715cd9fe7f8,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,c2e1f058aa364ee5a8feb2b7d6ac9f18
c2e1f058aa364ee5a8feb2b7d6ac9f18,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,b9e8566c3d0f47a79c4d81e8626f5543
b9e8566c3d0f47a79c4d81e8626f5543,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,becaf5d445a942ccb83edc1411b59dd5
becaf5d445a942ccb83edc1411b59dd5,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,d28ff028222641509fb0d5b02663d153
d28ff028222641509fb0d5b02663d153,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,b9c86eb2ddf0491498ab9ca1a27fc7ae
b9c86eb2ddf0491498ab9ca1a27fc7ae,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,6cdebd40f62d4a1fbca64f7b70242f5e
6cdebd40f62d4a1fbca64f7b70242f5e,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,fc58da841da64b73ae0131375cd7e346
fc58da841da64b73ae0131375cd7e346,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,997add7a3c7f40709c55d2853fd9e652
997add7a3c7f40709c55d2853fd9e652,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,311cf11008e54e33a9259ed045b47b23
311cf11008e54e33a9259ed045b47b23,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,9a40b6a68b2a40ee8aecc0c9eca9772d
9a40b6a68b2a40ee8aecc0c9eca9772d,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,6582c42d3e4845f8a3fa535dc9af15c5
6582c42d3e4845f8a3fa535dc9af15c5,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,968834638ddf4a69ad0436aa18482ab2
968834638ddf4a69ad0436aa18482ab2,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,364ee199ca2148d8aeb8e955bb1959c4
364ee199ca2148d8aeb8e955bb1959c4,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,3f20c7b3d313457fa838eeb1e0213ae4
3f20c7b3d313457fa838eeb1e0213ae4,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,57e2c69ddd534544afaae175b5462414
57e2c69ddd534544afaae175b5462414,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,53622d38eec24ff5be8b937ed0c24ff8
53622d38eec24ff5be8b937ed0c24ff8,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,b555107fd7394b749f00719b99deff64
b555107fd7394b749f00719b99deff64,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,dd1cd70d7de64d18ac75c10c5556cd52
dd1cd70d7de64d18ac75c10c5556cd52,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,064cc43b42124fab9eec2aeb2ce20ef1
064cc43b42124fab9eec2aeb2ce20ef1,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,ebc8da6062d04317a468b668aa05a333
ebc8da6062d04317a468b668aa05a333,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,4571aa0d2be54390b331bfc87c2f6be8
4571aa0d2be54390b331bfc87c2f6be8,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,ce7569398335458cb6873bf17cce2638
ce7569398335458cb6873bf17cce2638,herbivore of,720a70103ac74d9b97452c8f862eebc0
720a70103ac74d9b97452c8f862eebc0,host plant of,82330bde35074f599f3119454a1082f1
82330bde35074f599f3119454a1082f1,herbivore of,720a70103ac74d9b97452c8f862eebc0
21d299dcfa3b4c73aac286086edd24fc,host plant of,ac89db12bd7b40eca9d190bfbc32b8be
ac89db12bd7b40eca9d190bfbc32b8be,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,d5820a940b5f4f2e99d122ec913da75a
d5820a940b5f4f2e99d122ec913da75a,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,11b4acbb79e049ccb4fa5d43ca52f456
11b4acbb79e049ccb4fa5d43ca52f456,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,c271204e1d4542f9acbfff5fd560ab64
c271204e1d4542f9acbfff5fd560ab64,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,010f9071d7824ac4b56788fb7ab858fa
010f9071d7824ac4b56788fb7ab858fa,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,219b8e67380a4eae8eabb6f82efacd3e
219b8e67380a4eae8eabb6f82efacd3e,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,9b5f09b6cdc54dc49900743d95a168cf
9b5f09b6cdc54dc49900743d95a168cf,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,5276101f6acb4ca5beacb7dc73338322
5276101f6acb4ca5beacb7dc73338322,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,fc67ceb5c2de4815bf9b1dfcad5bbbbe
fc67ceb5c2de4815bf9b1dfcad5bbbbe,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,3b6c32480ab94eb28375cf2c051175df
3b6c32480ab94eb28375cf2c051175df,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,89b36c438b9f4616b461c5f15d27d9ab
89b36c438b9f4616b461c5f15d27d9ab,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,69deda6d595d48f6b654716e6b06336a
69deda6d595d48f6b654716e6b06336a,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,dd90de5b80054b42be14a0cbf883a5d7
dd90de5b80054b42be14a0cbf883a5d7,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,6f6a31d9fd3b43b697b14b7c37b2a8f8
6f6a31d9fd3b43b697b14b7c37b2a8f8,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,aa8d183098cb41f295be17b78763a2b0
aa8d183098cb41f295be17b78763a2b0,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,9c04bebde35b42658388827c10f989f4
9c04bebde35b42658388827c10f989f4,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,51bedea8f649487bad3db9f7641b1b94
51bedea8f649487bad3db9f7641b1b94,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,fdeb931e7e3b43a0a5f8ed2457fd9e28
fdeb931e7e3b43a0a5f8ed2457fd9e28,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,dc9125b4576a4feabb3035069657bdaa
dc9125b4576a4feabb3035069657bdaa,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,7d3b3ec8605a47ab8417a79e09a3135d
7d3b3ec8605a47ab8417a79e09a3135d,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,eec42b9f5eef4741a6301962697cb25e
eec42b9f5eef4741a6301962697cb25e,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,fa186be66e564ee1a24d9d266e2fe354
fa186be66e564ee1a24d9d266e2fe354,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,9dcf368026a240ffaa94091f27585df6
9dcf368026a240ffaa94091f27585df6,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,dd1cd70d7de64d18ac75c10c5556cd52
dd1cd70d7de64d18ac75c10c5556cd52,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,3bd34302aefa48229e05a89a044b10a4
3bd34302aefa48229e05a89a044b10a4,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,1aa30591b5364ae1949c96098c69225e
1aa30591b5364ae1949c96098c69225e,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,9a11c6cebcc8443191d65c681aafe558
9a11c6cebcc8443191d65c681aafe558,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,f8637387c8db45f1b55464e2935ea195
f8637387c8db45f1b55464e2935ea195,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,4767c33beffc44e6871a549228e775de
4767c33beffc44e6871a549228e775de,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,5347c40fcd82462dabc8ec5e92a692e3
5347c40fcd82462dabc8ec5e92a692e3,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,797149752ffb41e8ae12270fee120b2f
797149752ffb41e8ae12270fee120b2f,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,57d9164cbfdb43e8835a72e9a7dd4573
57d9164cbfdb43e8835a72e9a7dd4573,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,42217482f6e64e7db36fc23a553e87be
42217482f6e64e7db36fc23a553e87be,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,812d25b7cb9f4623a28fff46b60e7642
812d25b7cb9f4623a28fff46b60e7642,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,bebd2d68f5ec441899d35aa1255c33ed
bebd2d68f5ec441899d35aa1255c33ed,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,f6ce7616b9ca4b37b609ae31dde8b6f9
f6ce7616b9ca4b37b609ae31dde8b6f9,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,20f345e3e7584b8fbfbe821c9933dde2
20f345e3e7584b8fbfbe821c9933dde2,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,064cc43b42124fab9eec2aeb2ce20ef1
064cc43b42124fab9eec2aeb2ce20ef1,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,31604965be3840b0852528c57c6dd92a
31604965be3840b0852528c57c6dd92a,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,94725aeab51e4776ab441a77277959e6
94725aeab51e4776ab441a77277959e6,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,97ade7d44a9846f790f94b8ae7869c46
97ade7d44a9846f790f94b8ae7869c46,herbivore of,21d299dcfa3b4c73aac286086edd24fc
21d299dcfa3b4c73aac286086edd24fc,host plant of,d9f6fc76d69f4c0497dce71a0d5e93ca
d9f6fc76d69f4c0497dce71a0d5e93ca,herbivore of,21d299dcfa3b4c73aac286086edd24fc
087888099bbe47579978d24e3ab37aea,host plant of,3c58c57cd9fb45a79372e4428e4157e1
3c58c57cd9fb45a79372e4428e4157e1,herbivore of,087888099bbe47579978d24e3ab37aea
087888099bbe47579978d24e3ab37aea,host plant of,94f59076e84b43c596bb03d8a73b6ec5
94f59076e84b43c596bb03d8a73b6ec5,herbivore of,087888099bbe47579978d24e3ab37aea
087888099bbe47579978d24e3ab37aea,host plant of,f8637387c8db45f1b55464e2935ea195
f8637387c8db45f1b55464e2935ea195,herbivore of,087888099bbe47579978d24e3ab37aea
61253e13716a4be7a3e51319eeb401b2,host plant of,101f870b11664a3c9a9001d6c07c3a92
101f870b11664a3c9a9001d6c07c3a92,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,e72dd7e3e65140b6a8793c461ae1d334
e72dd7e3e65140b6a8793c461ae1d334,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,48c1915f1949490f92eb396e5009d8e9
48c1915f1949490f92eb396e5009d8e9,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,12057a7ddcbd455a9e10bc86dd102c4a
12057a7ddcbd455a9e10bc86dd102c4a,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,b15206d8e13441f8bace73df2518127b
b15206d8e13441f8bace73df2518127b,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,898929e63a4b45659000c14211180642
898929e63a4b45659000c14211180642,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,ae06efedbe9649e1b0b71e41cd2c8cb1
ae06efedbe9649e1b0b71e41cd2c8cb1,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,40675bb5e0494153836dcf6dd0f1fafb
40675bb5e0494153836dcf6dd0f1fafb,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,d28ff028222641509fb0d5b02663d153
d28ff028222641509fb0d5b02663d153,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,9a40b6a68b2a40ee8aecc0c9eca9772d
9a40b6a68b2a40ee8aecc0c9eca9772d,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,e83a53540e74428db47b66d68e1d0bb2
e83a53540e74428db47b66d68e1d0bb2,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,997add7a3c7f40709c55d2853fd9e652
997add7a3c7f40709c55d2853fd9e652,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,5ba06706422d45c79411d78fa21bde9e
5ba06706422d45c79411d78fa21bde9e,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,0eef4a301f2f4ee19318239a8ea4d18b
0eef4a301f2f4ee19318239a8ea4d18b,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,0b0f265013744886931118745e61d058
0b0f265013744886931118745e61d058,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,d7b95034ac724ad4951e097781529071
d7b95034ac724ad4951e097781529071,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,f505d36396524c81af039fae6e19cd45
f505d36396524c81af039fae6e19cd45,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,fc58da841da64b73ae0131375cd7e346
fc58da841da64b73ae0131375cd7e346,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,f3be5f2a3d7a4313b43d0ff029e6d351
f3be5f2a3d7a4313b43d0ff029e6d351,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,58ed3d86d6f7412084abed6c40f8be64
58ed3d86d6f7412084abed6c40f8be64,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,b915d68dbacf44c79d69d8347a280c42
b915d68dbacf44c79d69d8347a280c42,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,2f11c5390f2c46069c472b393ae18025
2f11c5390f2c46069c472b393ae18025,herbivore of,61253e13716a4be7a3e51319eeb401b2
61253e13716a4be7a3e51319eeb401b2,host plant of,c8ce6e5f2abe464f8dcfacf50526af70
c8ce6e5f2abe464f8dcfacf50526af70,herbivore of,61253e13716a4be7a3e51319eeb401b2
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,e624b614b2aa46b391d01f58505b1b75
e624b614b2aa46b391d01f58505b1b75,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,e72dd7e3e65140b6a8793c461ae1d334
e72dd7e3e65140b6a8793c461ae1d334,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,a0ffe0f6cb574779893cb6ce8d7352b1
a0ffe0f6cb574779893cb6ce8d7352b1,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,3fc246a411d042a981e089ef68bc0117
3fc246a411d042a981e089ef68bc0117,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,2b6d685b51ec4f40aec599c6ebe087c1
2b6d685b51ec4f40aec599c6ebe087c1,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,d7146f9252014a3598a83add440b785b
d7146f9252014a3598a83add440b785b,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,9a40b6a68b2a40ee8aecc0c9eca9772d
9a40b6a68b2a40ee8aecc0c9eca9772d,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,ee7c1796b0e04fda9e515662399e790d
ee7c1796b0e04fda9e515662399e790d,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,ae06efedbe9649e1b0b71e41cd2c8cb1
ae06efedbe9649e1b0b71e41cd2c8cb1,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,d28ff028222641509fb0d5b02663d153
d28ff028222641509fb0d5b02663d153,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,968834638ddf4a69ad0436aa18482ab2
968834638ddf4a69ad0436aa18482ab2,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,3f20c7b3d313457fa838eeb1e0213ae4
3f20c7b3d313457fa838eeb1e0213ae4,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,75d30179a97849fa8fe727dfb8398503
75d30179a97849fa8fe727dfb8398503,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
e0b800b73bb84e7e899dc9fe8f22fcdf,host plant of,ea3d1e3b65ea4cd3a943226b9eb393ee
ea3d1e3b65ea4cd3a943226b9eb393ee,herbivore of,e0b800b73bb84e7e899dc9fe8f22fcdf
