ID,scientificName,taxonRank,kingdom
b9c86eb2ddf0491498ab9ca1a27fc7ae,Diaspis boisduvalii,species,Animalia
6cdebd40f62d4a1fbca64f7b70242f5e,Saissetia coffeae,species,Animalia
fc58da841da64b73ae0131375cd7e346,Chrysomphalus dictyospermi,species,Animalia
6582c42d3e4845f8a3fa535dc9af15c5,Coccus viridis,species,Animalia
968834638ddf4a69ad0436aa18482ab2,Coccus hesperidum,species,Animalia
364ee199ca2148d8aeb8e955bb1959c4,Steatococcus samaraius,species,Animalia
57e2c69ddd534544afaae175b5462414,Aonidiella inornata,species,Animalia
53622d38eec24ff5be8b937ed0c24ff8,Aonidiella aurantii,species,Animalia
b555107fd7394b749f00719b99deff64,Pentalonia nigronervosa,species,Animalia
dd1cd70d7de64d18ac75c10c5556cd52,Aphis gossypii,species,Animalia
064cc43b42124fab9eec2aeb2ce20ef1,Spodoptera litura,species,Animalia
ebc8da6062d04317a468b668aa05a333,Erionota thrax,species,Animalia
4571aa0d2be54390b331bfc87c2f6be8,Eudocima fullonia,species,Animalia
ce7569398335458cb6873bf17cce2638,Valanga excavata,species,Animalia
82330bde35074f599f3119454a1082f1,Valanga nigricornis,species,Animalia
21d299dcfa3b4c73aac286086edd24fc,Phaseolus,genus,Plantae
ac89db12bd7b40eca9d190bfbc32b8be,Polyphagotarsonemus latus,species,Animalia
d5820a940b5f4f2e99d122ec913da75a,Tetranychus tumidus,species,Animalia
11b4acbb79e049ccb4fa5d43ca52f456,Pagria signata,species,Animalia
010f9071d7824ac4b56788fb7ab858fa,Ophiomyia phaseoli,species,Animalia
219b8e67380a4eae8eabb6f82efacd3e,Melanagromyza sojae,species,Animalia
5276101f6acb4ca5beacb7dc73338322,Liriomyza sativae,species,Animalia
fc67ceb5c2de4815bf9b1dfcad5bbbbe,Liriomyza trifolii,species,Animalia
3b6c32480ab94eb28375cf2c051175df,Nysius pulchellus,species,Animalia
89b36c438b9f4616b461c5f15d27d9ab,Lygus trukensis,species,Animalia
69deda6d595d48f6b654716e6b06336a,Brachyplatys insularis,species,Animalia
dd90de5b80054b42be14a0cbf883a5d7,Nezara viridula,species,Animalia
aa8d183098cb41f295be17b78763a2b0,Piezodorus hybneri,species,Animalia
9c04bebde35b42658388827c10f989f4,Halticus tibialis,species,Animalia
51bedea8f649487bad3db9f7641b1b94,Coptosoma xanthogramma,species,Animalia
fdeb931e7e3b43a0a5f8ed2457fd9e28,Empoasca pitiensis,species,Animalia
dc9125b4576a4feabb3035069657bdaa,Leptocentrus taurus,species,Animalia
eec42b9f5eef4741a6301962697cb25e,Exitianus capicola,species,Animalia
fa186be66e564ee1a24d9d266e2fe354,Bemisia tabaci,species,Animalia
3bd34302aefa48229e05a89a044b10a4,Myzus persicae,species,Animalia
1aa30591b5364ae1949c96098c69225e,Aphis craccivora,species,Animalia
9a11c6cebcc8443191d65c681aafe558,Maruca testulalis,species,Animalia
f8637387c8db45f1b55464e2935ea195,Spodoptera mauritia,species,Animalia
4767c33beffc44e6871a549228e775de,Cryptophlebia ombrodelta,species,Animalia
5347c40fcd82462dabc8ec5e92a692e3,Etiella zinckenella,species,Animalia
797149752ffb41e8ae12270fee120b2f,Lamprosema diemenalis,species,Animalia
57d9164cbfdb43e8835a72e9a7dd4573,Adoxophyes melia,species,Animalia
42217482f6e64e7db36fc23a553e87be,Acrocercops,genus,Animalia
812d25b7cb9f4623a28fff46b60e7642,Sphenarches caffer,species,Animalia
bebd2d68f5ec441899d35aa1255c33ed,Agrius convolvuli,species,Animalia
f6ce7616b9ca4b37b609ae31dde8b6f9,Lampides boeticus,species,Animalia
20f345e3e7584b8fbfbe821c9933dde2,Heliothis armigera,species,Animalia
31604965be3840b0852528c57c6dd92a,Chrysodeixis chalcites,species,Animalia
94725aeab51e4776ab441a77277959e6,Phaneroptera furcifera,species,Animalia
97ade7d44a9846f790f94b8ae7869c46,Thrips palmi,species,Animalia
d9f6fc76d69f4c0497dce71a0d5e93ca,Thrips tabaci,species,Animalia
087888099bbe47579978d24e3ab37aea,Cynodon,genus,Plantae
3c58c57cd9fb45a79372e4428e4157e1,Antonina graminis,species,Animalia
94f59076e84b43c596bb03d8a73b6ec5,Marasmia venilialis,species,Animalia
61253e13716a4be7a3e51319eeb401b2,Areca catechu,species,Plantae
101f870b11664a3c9a9001d6c07c3a92,Rhabdoscelus obscurus,species,Animalia
e72dd7e3e65140b6a8793c461ae1d334,Xyleborus perforans,species,Animalia
48c1915f1949490f92eb396e5009d8e9,Protaetia orientalis,species,Animalia
12057a7ddcbd455a9e10bc86dd102c4a,Diocalandra frumenti,species,Animalia
b15206d8e13441f8bace73df2518127b,Oryctes rhinoceros,species,Animalia
898929e63a4b45659000c14211180642,Lepidosaphes laterochitinosa,species,Animalia
ae06efedbe9649e1b0b71e41cd2c8cb1,Lepidosaphes similis,species,Animalia
40675bb5e0494153836dcf6dd0f1fafb,Cerataphis lataniae,species,Animalia
e83a53540e74428db47b66d68e1d0bb2,Pinnaspis buxi,species,Animalia
5ba06706422d45c79411d78fa21bde9e,Dysmicoccus brevipes,species,Animalia
0eef4a301f2f4ee19318239a8ea4d18b,Palmicultor palmarum,species,Animalia
0b0f265013744886931118745e61d058,Parlatoria proteus,species,Animalia
d7b95034ac724ad4951e097781529071,Coccus mangiferae,species,Animalia
f3be5f2a3d7a4313b43d0ff029e6d351,Pinnaspis aspidistrae,species,Animalia
58ed3d86d6f7412084abed6c40f8be64,Phenacaspis inday,species,Animalia
b915d68dbacf44c79d69d8347a280c42,Agonoxena,genus,Animalia
2f11c5390f2c46069c472b393ae18025,Batrachedra,genus,Animalia
c8ce6e5f2abe464f8dcfacf50526af70,Heliothrips haemorrhoidalis,species,Animalia
e0b800b73bb84e7e899dc9fe8f22fcdf,Artocarpus altitis,species,Plantae
a0ffe0f6cb574779893cb6ce8d7352b1,Ceresium unicolor,species,Animalia
3fc246a411d042a981e089ef68bc0117,Aclees porosus,species,Animalia
2b6d685b51ec4f40aec599c6ebe087c1,Dacus umbrosus,species,Animalia
d7146f9252014a3598a83add440b785b,Dacus frauenfeldi,species,Animalia
75d30179a97849fa8fe727dfb8398503,Andaspis punicae,species,Animalia
ea3d1e3b65ea4cd3a943226b9eb393ee,Coccus moestus,species,Animalia
ab5c0fd0aa5f4954a56eff73a669ac49,Vinsonia stellifera,species,Animalia
7052766edb7b480c9317d2d2f3326878,Chrysomphalus aonidum,species,Animalia
f1f8abc5c5d742bb97ed16907c7a80ce,Pseudaulacaspis pentagona,species,Animalia
056e823784a74508ae5ef10a9d2d745f,Planococcus lilacinus,species,Animalia
2ee1e1c91418425e9b3a948e5afec013,Pseudococcus marshallensis,species,Animalia
65dd3f138c7940eb932ded62b3545850,Xenaleyrodes artocarpi,species,Animalia
970468e377d14619ac1e90de73ad64dc,Asterolecanium pustulans,species,Animalia
df41adef212b4be29c5208f1010845fc,Icerya purchasi,species,Animalia
7a3b90f7f2604924a9c7aaa4ff13ea24,Phaciocephalus onoi,species,Animalia
ed256d4758024b67915a49531991c1d4,Pseudococcus trukensis,species,Animalia
a0b8695ea362404ba4e2984d630bb1d4,Ceroplastes rubens,species,Animalia
9548dae3640d4930b1f85bdb991948c2,Brassica,genus,Plantae
14efb558859e4a2fbcc246a0ff865a27,Liriomyza brassicae,species,Animalia
519c5b0ae5814e4d9b3728bbbc1e49f3,Lipaphis erysimi,species,Animalia
4da9c2ad918442c5a803d8e1a74166f9,Heliothis zea,species,Animalia
caa48e96def94b7294b950381fed2c8e,Hellula undalis,species,Animalia
7138fd97430347cfb30981a565cd7f11,Plutella xylostella,species,Animalia
839fc372506c4b22ae8aedf1087c192b,Crocidolomia binotalis,species,Animalia
774871f64faa4eeda665491a325ea2e6,Manihot esculenta,species,Plantae
ccc4deff98d247888c11b092d82b9f39,Tetranychus,genus,Animalia
125b6f0969154948beed00957d5f117d,Tetranychus truncatus,species,Animalia
fd0b237754c44aa9a55ca71dd9b00d16,Parasaissetia nigra,species,Animalia
519e9b80bc78446b9fd1ab66d66a4042,Phenacoccus madeirensis,species,Animalia
957df5ccc7dc4bb6bb7ae91e9c2f661e,Theobroma cacao,species,Plantae
92abb396bc114b739ff7c7cf2bdee664,Xyleborus similis,species,Animalia
8e047a99f2124c238a497d085510a8dd,Pelargoderus luteosparsus,species,Animalia
14713e9371134a6282c9ae796fb7a2ee,Coenobius glochidionis,species,Animalia
135372e44d6348efa478d565b5860bfc,Xyleborus ferrugineus,species,Animalia
74790aac7be0475ca1d29c3d710669e4,Eusyphax bivittatus,species,Animalia
db142c20388d41d096971834c0c2cd27,Toxoptera aurantii,species,Animalia
a8bf1d56ff6144e6bdfedfc18125b65c,Tiracola plagiata,species,Animalia
53ced460a83e4d85870479a4da3c042d,Cocos nucifera,species,Plantae
7b7e14f767a2452c8a3422078af4b59a,Brontispa chalybeipennis,species,Animalia
99c812f2dab948c6b72aef1d7e5d76b9,Brontispa mariana,species,Animalia
eeac1582f5004b9984c80b0b36b2de21,Brontispa palauensis,species,Animalia
15db1890ad524c11a8f70f67cec1147f,Caroliniella aenescens,species,Animalia
00b0c08a48e04bcea23fc3371f7e5acd,Trochorhopalus strangulatus,species,Animalia
5795e4a8f77843c285e2036a6daa3c33,Rhabdoscelus asperipennis,species,Animalia
b2cc61bf0e754acabf1e806c5c8d538e,Astegopteryx rhapidis,species,Animalia
c484b53cd98b435983d214d6df609521,Aleurocanthus palauensis,species,Animalia
0f271443b941429f8d430a24283031a4,Aleurodicus dispersus,species,Animalia
4c9fc88c22ba4a4fb10d678f9cec8ee3,Aonidiella comperei,species,Animalia
231cf67b5ea54426ad6a275369de7b1d,Aonidiella eremocitri,species,Animalia
6d0023f708444ff7b5ded6a90f964bcd,Lepidosaphes esakii,species,Animalia
ccf6673e9cb74e71abcba5b22b115f7e,Lamenia numitor,species,Animalia
d3e144f71d0241118d4ce501a2ec5a1f,Lallemandana phalerata,species,Animalia
7e58af451a344680acf43fc47ced530e,Leptynoptera sulfurea,species,Animalia
f4e1a7510bf34d83a0060481a475cbba,Palmicultor guamensis,species,Animalia
777740dd976c4681abfd46c90825de70,Furcaspis oceanica,species,Animalia
466e4e7d31cc4551b141761daaa9c5be,Flaccia dione,species,Animalia
c5cdf730db2d4f5d98bab59848416089,Exitianus plebeius,species,Animalia
24841a9314864e4f99e53b887130d5c1,Dysmicoccus saipanensis,species,Animalia
540aea8941ce4304a1c7cd657235c3a7,Swezeyia zephyrus,species,Animalia
96bb411c3135498fb01148016dbae3dc,Protalebrella braziliensis,species,Animalia
e8190c678a344adcb5adee313a51ab55,Pinnaspis strachani,species,Animalia
bbc7ba8d5b234dd08de152d64e3e1ffc,Neotermes kanehirae,species,Animalia
6dd19c77e0ba4cb4badbfe1250d8b0e7,Agonoxena pyrogramma,species,Animalia
b99aa7819e8b4fd98725a1897141f9cb,Segestes unicolor,species,Animalia
6dfa5377b4a34a26b1d323832e41a143,Acanthograeffea denticulata,species,Animalia
fa78b5d514344f5da0adc7de7351e3e9,Acanthograeffea modesta,species,Animalia
1c19254e37344df68dc81e83a48866cf,Coffea,genus,Plantae
9702fcba89b047afafffcad25ff058c3,Hypothenemus hampei,species,Animalia
f2968d50bf6b489bbce05cc51ee2744c,Xyleborus morigerus,species,Animalia
b10fe1569a7b402595dd8d16f21acf5f,Saissetia oleae,species,Animalia
d15e4dc80072477c8626cd75b6ba8caf,Chloropulvinaria psidii,species,Animalia
e0923e8ea52e4d4c924936815a9ca7fd,Duplaspidiotus tesseratus,species,Animalia
a54bae5c2340491da6541c587f87c78d,Aleurodothrips fasciapennis,species,Animalia
8b1223a9a6ee46afbe656ef771fbd1e9,Karnyothrips melaleuca,species,Animalia
12fcc7c4155b4aa68bccfbc8b0b0bd43,Gossypium,genus,Plantae
522f840b556543bf8c4a0d99ea84ecb7,Tetranychus cinnabarinus,species,Animalia
350a91fa220c496787c02a5ef7a8a973,Oxycarenus bicolor,species,Animalia
240d7e2dcfae4ed38bb79f34b320ee3c,Sundapteryx biguttula,species,Animalia
a5712d02a7cf4763ac2676912fcaa021,Anomis erosa,species,Animalia
a4208f9a5914405f9bdb6320de8e514d,Diaphania indica,species,Animalia
2bd6072689f9496a80127325061389cd,Codiaeum variegatum,species,Plantae
e17998d20e23445a8534e43419bc4937,Trigonops hirsuta,species,Animalia
89d835cba33e448b95bcd7df261e345b,Trigonops inusitata,species,Animalia
d4bb31d4de7e43bab47c44bff5822182,Lepidosaphes tokionis,species,Animalia
a155aa292b224f35a415febd382a49ee,Achaea janata,species,Animalia
11115aaf20e447049e030ccf257fc9f1,Cucurbitaceae,genus,Plantae
ba21f2192d084b7ba10191f3e8d4a982,Aulacophora flavomarginata,species,Animalia
60582200ab5140b78c2b34fff13cb4cf,Nanyozo viridilineatus,species,Animalia
c2f27c0d5e724156b0548363a1894a86,Aulacophora marginalis,species,Animalia
9a933624fd7745749e71d66497adad89,Aulacophora similis,species,Animalia
93fbbe5348ae4b75abaf151da55e1089,Aulacophora quadrimaculata,species,Animalia
ca57386786f14170a32c6818ee739e21,Physomerus grossipes,species,Animalia
2a4e8321f6f44996a200d28cb3a69c52,Megymenum affine,species,Animalia
1a977e5c55f044ed8741172573988a15,Halticus insularis,species,Animalia
e450c2ffead04332a62d4984af95e263,Lepidosaphes beckii,species,Animalia
bebd50d2a13e4cd5891a1d3c548449f1,Diaphania hyalinata,species,Animalia
f24bf56faca5493399f0147828c6f2a9,Stenocatantops splendens,species,Animalia
27d1311d17314b5dac4bd849c67d1daf,Cycas,genus,Plantae
17d6fd0ccae0409fafbe5620001e87ef,Anaballus amplicollis,species,Animalia
62db2e8db69d42199acefde07ea30f19,Alciphron glaucus,species,Animalia
e746b57870474bc18e07ef39e28c2d9f,Lepidosaphes carolinensis,species,Animalia
0506cea30d054cecb0c735914f912647,Chilades pandava,species,Animalia
abf51c4015c14736a79040a2c92218a2,Solanum melongena,species,Plantae
528d607a59764e8eb4483b3389f8858d,Epitrix hirtipennis,species,Animalia
00a53b065ccd4ea7b2d1d9044b6ff39a,Epilachna vigintisexpunctata philippensis,species,Animalia
c129e1b271304caf950a6485509756df,Lygus kusaiensis,species,Animalia
1d9b0d252efb454ea7fe88d19b18545c,Protoparce,genus,Animalia
a2aff4b8fe74465283dfa1104d08c897,Ficus,genus,Plantae
ca3de76c2d05441c82a1b97518985eba,Ceroplastes ceriferus,species,Animalia
4143596420004d559ee270fbf5b0c6e3,Euploea leucostictos,species,Animalia
f1b72f4194794319a8c9a7820eb7c96e,Zingiber officinale,species,Plantae
180bb00c2e7445a0872849c6e1bc7186,Ostrinia furnacalis,species,Animalia
3d9f529d47f14660b558bc741c2940ea,Psidium guajava,species,Plantae
176e55085bc242c8a3a3045b06b605cb,Saissetia neglecta,species,Animalia
9b9a2b1e533443bba4658a5ab164a3ed,Kilifia acuminata,species,Animalia
6eb51782a92f4f9ca4281bd06086ff69,Kilifia deltoides,species,Animalia
10f06b1ca6f7471a97c69b448c277420,Aleurothrixus floccosus,species,Animalia
d7b0a2a9a6174bda9c28c6ee9d60d218,Parlatoria pergandii,species,Animalia
2ed53fd4285d4457907f2a1abb76f2a6,Neotermes connexus,species,Animalia
d9e6c00cdb2944a294fb4613d2ebfef2,Dudua aprobola,species,Animalia
5f3744cb2ca747888b6d783675e5a9a4,Anua tongaensis,species,Animalia
d03d52aed4994be7b67c09ee929741d0,Strepsicrates ejectana,species,Animalia
43c0e56b5d4241508e17749b984dd83d,Erythrina variegata,species,Plantae
7d23725f5d334abc8bc33ab615891a73,Saissetia miranda,species,Animalia
487d8738e450415daaad262bb8f956e6,Agathodes ostentalis,species,Animalia
88b351c85d1441a18c3086b306aa3dbf,Casuarina equisetifolia,species,Plantae
42edcbb9e63b47878132564271cb04d5,Artocarpus heterophyllus,species,Plantae
527f23cf099145bfb6033b05e9e7e906,Calophyllum inophyllum,species,Plantae
71acc6c6dbca4f7e831d60d36d4d6931,Citrus,genus,Plantae
c23fe3d6a4fa435eacc4a31a14dc3e06,Eotetranychus cendanai,species,Animalia
37686d2704ca415b9c9021c89daf0e53,Daealus,genus,Animalia
eb468c2d56fa49258fe08e55bd92db4b,Protaetia fusca,species,Animalia
0c7f45cfdda744649fdbfef23ed61be7,Chrysobothris costata,species,Animalia
9da974d3b59447eca9e092529d2c25fd,Agrilus occipitalis,species,Animalia
3cb6ac11623c4026a74672067475cadc,Unaspis citri,species,Animalia
f370f7a9267047a58aa88b3f136f9cc8,Aphis citricola,species,Animalia
42d365bfaec84ddebdfc1591debd4d24,Aleurocanthus spiniferus,species,Animalia
2b984f9d528541019e3474ef3943495f,Dialeurodes citrifolii,species,Animalia
72bf65cb92084c7bb8369e1ad930376f,Parlatoria zizyphus,species,Animalia
2acc6321150340f7831524a7456bbbbd,Lepidosaphes gloverii,species,Animalia
6b1db04fe36345e0a7ec81c557d29a16,Pseudococcus citriculus,species,Animalia
0a4be04aa83f4948941e46720a45d442,Abgrallaspis palmae,species,Animalia
13941d00d1f5439fad2da75c752d4811,Parlatoria cinerea,species,Animalia
e9a555b121f543ea8638cb448c1b8c62,Adoxophyes fasciculana,species,Animalia
c43e4c6de26f4996ac55f706f0bfab5d,Cryptophlebia peltastica,species,Animalia
d7e5f1a9d26c487fb90186777642e4b9,Phyllocnistis citrella,species,Animalia
af43d66af7bc4f7eabc230919a193882,Papilio polytes,species,Animalia
920883a09710426095aa1022fb73d5f3,Prays citri,species,Animalia
6ede38773ea74f7bacf0ac5b0c30950c,Zea mays,species,Plantae
7507740701a54eb0a7e38a0fa46faec2,Phyllophaga bipunctata,species,Animalia
f1a929830df04f538a49225edce2ba39,Sitophilus oryzae,species,Animalia
1ef2f8970be540bf8553a5d216c89789,Pseudonapomyza spicata,species,Animalia
1aa273809544409c8dba8975ca6f8aeb,Creontiades pallidifer,species,Animalia
dd453527aeda487492c08d236ddd0cff,Saccharicoccus sacchari,species,Animalia
09c36f1e6a5743ef8acaaf37931e65d3,Peregrinus maidis,species,Animalia
e31d0a64b60d474096a7443702d7eab7,Rhopalosiphum maidis,species,Animalia
da9aee52fc4142f1841cab502b1a656a,Cicadulina bipunctella,species,Animalia
dcab2d69764242d8b874df3736661d11,Marasmia trapezalis,species,Animalia
b857c38045b7462a80cdf5605c6d7c34,Melanitis leda,species,Animalia
d420f0d9c3594e30aa0eab06af13a6fc,Conocephalus longipennis,species,Animalia
6c143f3beec04c8dba1e38485808e111,Oxya japonica,species,Animalia
d2933b27baaa42c181c4a5abb1c8b8ea,Locusta migratoria manilensis,species,Animalia
5f1d296999c54953848bb2174551e3a1,Aiolopus thalassinus dubius,species,Animalia
8fd5d707b87a437ca184b600065032a9,Oxya hyla,species,Animalia
67ad97ebfdc74b33ac0ddc8eac5893d4,Mangifera indica,species,Plantae
695bff7afef74cdd995b75e90af0c394,Rhyparida carolina,species,Animalia
bd10e968b4f24eb3be340b83e37a9366,Sternochetus mangiferae,species,Animalia
4224889cbb4948df860238110b989b87,Cryptorhynchus mangiferae,species,Animalia
6ab18bef7ff742208935e7fcd204460b,Semelaspidus mangiferae,species,Animalia
afe98b9a50ec44518c1dc0ba7311c0bc,Pinnaspis,genus,Animalia
deef9c829cc04a3da39a6385a25592e2,Melanaspis bromeliae,species,Animalia
3ad0f34974c448a08e65bc4acaf74fd6,Radionaspis indica,species,Animalia
cb11c01f864e4d8ca49529c5b4726587,Penicillaria jocosatrix,species,Animalia
2a6ef889698c400e8947f0ec0ca71dd4,Anisodes illepidaria,species,Animalia
d7ffbc27b77c4d1f87b02c462f5cc251,Eugenia malaccensis,species,Plantae
a051653c7e56467197ca0e4075a3e86b,Dacus ochrosiae,species,Animalia
01563a623e7e4383b00b92e2bf8c7ca1,Trioza vitiensis,species,Animalia
a25938a400514696a805cfbec1dedee2,Abelmoschus esculentus,species,Plantae
2a9229350ded409b87e50f2d78f50ea1,Mesohomotoma hibisci,species,Animalia
20823727991f44c28570074ebc0e3c3a,Anomis flava,species,Animalia
28866c8e278142c292564957f9699b43,Earias vitella,species,Animalia
a8f931311bc84b5a8e55f241afc2eb16,Allium cepa,species,Plantae
667485c35b0c457a92d279b552b235a1,Atractomorpha psittacina,species,Animalia
ed16d7e38ecc4f3796984348240f4df5,Carica papaya,species,Plantae
af66a91a2274407387199e6587492ae3,Euphranta lemniscata,species,Animalia
2c75ed87e8a240bbb50a0857a73eaac1,Hendelina bisecta,species,Animalia
6ed4c73b123b4caa90ee200bacab7025,Fulvius angustatus,species,Animalia
8683974c28be4e6dadf24430f96b72d6,Ananas comosus,species,Plantae
19993a72fcd24723822132cd8dfe4ff6,Diaspis bromeliae,species,Animalia
0dbfb57d20ef433d938c480edc47770a,Teleogryllus oceanicus,species,Animalia
b728968a202b477c8fcf2174ab8df536,Punica granatum,species,Plantae
29710652419a43ae9eadbe5f65e15504,Solanum tuberosum,species,Plantae
750f1f9ed77a437189f50ceed4531904,Raphanus sativus,species,Plantae
c85fb0ba4f5b435d9a84797a37dc5f73,Capsicum,genus,Plantae
2a465d1644e44d2b97d192b30ac184fa,Chloriona formosella,species,Animalia
22953b9fd4324b39b30fd60d999da7ac,Oryza sativa,species,Plantae
1d5d00a647bb4de4855d75e35375ccf1,Leptocorixa acuta,species,Animalia
4b9c9883fb2c469f85c3a11c03562888,Sogatella furcifera,species,Animalia
d354b2c452204ee1a9fc3fab810c79da,Nephotettix apicalis,species,Animalia
977d9b1980b249c4a021b877b2a0c965,Nilaparvata lugens,species,Animalia
66240662bfea4496b1c52bb524dd05d5,Orthotylellus pallescens,species,Animalia
d50a1033c8c3457da3a31dd7e94a823c,Proboscidocoris malayus,species,Animalia
a86d59152212404d8a2d72397f25cf95,Grammarodes geometrica,species,Animalia
10154f80e803421990ef798a0007376e,Nymphula fluctuosalis,species,Animalia
cb92eeb7ede24cd7a53b438c3d29834e,Mythimna loreyi,species,Animalia
6857f674ffd044ec99d7003d96cc38c7,Susumia exigua,species,Animalia
ab68ce2cbe6344c58b083af33c38c891,Euconocephalus nasutus,species,Animalia
3b15a6328ad64c3f87f0bd6c7009f8d2,Bolacidothrips orizae,species,Animalia
9b9cb568ad6e4ef5ba7e39a4a24c6d07,Rosa,genus,Plantae
872217a6cbaa4f6c9c6ba8aa584220ed,Pandanus,genus,Plantae
b4664142f6c54647bb043104d701cf91,Oxycephala pandani,species,Animalia
622d735e88d34634adf753e3bd501d8c,Oxycephala spaethi,species,Animalia
0a35715070ef40ff9aa4c25f6aa10c53,Laminicoccus pandani,species,Animalia
d4dfb79f978947fca95dd81f81910be6,Turbinococcus pandanicola,species,Animalia
94fa55d5e57c48cf83147eb4942132b0,Myndus irreptor,species,Animalia
c17c651f25c14882a802eeaa5a49ce34,Myndus palawanensis,species,Animalia
c54141629a5049eda7034c18a7f98f05,Swezeyaria viridana,species,Animalia
df5fd44c346748dd8645ea8ae2acb5ee,Capelopterum punctatellum,species,Animalia
41747cf65b28499287475fb6f406ddfc,Neosimmondsia esakii,species,Animalia
87c2b42cc92348ff8b01934faccd4179,Myndus bifurcatus,species,Animalia
7862869d897d45abb0b5149be1d96507,Paralecanium carolinensis,species,Animalia
dfcf5fc7521d41b98605ffe6bd473e0d,Pandanicola pandani,species,Animalia
d20fa90f4cf143919583646e666c9c0b,Nesorhamma chalcas,species,Animalia
1aa743b487664ac6a1529c64a7d7761b,Myndus dibaphus,species,Animalia
1c31133ac75b4713a656aa2e84f30035,Pseudococcus pandanicola,species,Animalia
c7682dd3b16d49b1bc6087545c5000d9,Batrachomorphus atrifrons,species,Animalia
45c51a0d3dcc4a40b18ebfed4d15d881,Pandanicola esakii,species,Animalia
07233fb45dc94974a2a04af79695a123,Armacia clara,species,Animalia
2b3e7a6b72f3475abdd95d80a094cc3e,Trissodoris guamensis,species,Animalia
739fdd4b8ea04afeafae0fc3603c23f8,Megacrania batesii,species,Animalia
45aa459257ad4f97b8ea98fbe39297ac,Coccoloba,genus,Plantae
a34f452a70474fe88f1773346a60598b,Sorghum bicolor,species,Plantae
f76df2ee3da34032947394a6f7d4c232,Dysmicoccus boninsis,species,Animalia
1dce40d66eb64ea4aa5f9692669efb5d,Neomaskellia bergii,species,Animalia
bb3a79494eb24f8ea55bb3e335f2f319,Annona,genus,Plantae
dec9625df6c84029b27c5586bfa67f48,Saissetia nigra,species,Animalia
157976c2df464b74ba1099cd56055646,Kallitaxila crini,species,Animalia
