canonicalName,class,classKey,confidence,family,familyKey,genus,genusKey,kingdom,kingdomKey,matchType,note,order,orderKey,phylum,phylumKey,rank,scientificName,species,speciesKey,status,synonym,usageKey,verbatimScientificName
Asterolecanium,Insecta,216,96,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,Asterolecanium,,,ACCEPTED,False,2089594,Asterolecanium pseudolanceolatum
Asterolecanium,Insecta,216,96,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,Asterolecanium,,,ACCEPTED,False,2089594,Asterolecanium coronatum
Asterolecanium miliaris,Insecta,216,100,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Asterolecanium miliaris (Boisduval, 1869)",Asterolecanium miliaris,4290168.0,ACCEPTED,False,4290168,Asterolecanium miliaris
Musa,Liliopsida,196,97,Musaceae,4686.0,Musa,2760990.0,Plantae,6,EXACT,,Zingiberales,627,Tracheophyta,7707728,GENUS,Musa L.,,,ACCEPTED,False,2760990,Musa
Adoretus sinicus,Insecta,216,100,Rutelidae,4425773.0,Adoretus,1065060.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Adoretus sinicus Burmeister, 1855",Adoretus sinicus,4293553.0,ACCEPTED,False,4293553,Adoretus sinicus
Cosmopolites sordidus,Insecta,216,98,Dryophthoridae,8494.0,Cosmopolites,1169984.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Cosmopolites sordidus Marshall, G.A.K., 1930",Cosmopolites sordidus,1169988.0,DOUBTFUL,False,1169988,Cosmopolites sordidus
Polytus mellerborgi,Insecta,216,98,Dryophthoridae,8494.0,Polytus,1169439.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Polytus mellerborgi Heller, K.M., 1927",Polytus mellerborgi,1169443.0,DOUBTFUL,False,1169443,Polytus mellerborgi
Leptoglossus australis,Insecta,216,99,Coreidae,9649.0,Leptoglossus,2050115.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Leptoglossus australis (Fabricius, 1775)",Leptoglossus gonagra,5156106.0,SYNONYM,True,7832229,Leptoglossus australis
Planococcus citri,Insecta,216,99,Pseudococcidae,4534.0,Planococcus,2095382.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Planococcus citri (Risso, 1813)",Planococcus citri,7920517.0,ACCEPTED,False,7920517,Planococcus citri
Aspidiotus excisus,Insecta,216,99,Diaspididae,4521.0,Aspidiotus,5161675.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aspidiotus excisus Green, 1896",Aspidiotus excisus,5161743.0,ACCEPTED,False,5161743,Aspidiotus excisus
Ferrisia virgata,Insecta,216,99,Pseudococcidae,4534.0,Ferrisia,8268438.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Ferrisia virgata (Cockerell, 1893)",Ferrisia virgata,2093900.0,ACCEPTED,False,2093900,Ferrisia virgata
Proutista moesta,Insecta,216,100,Derbidae,4247.0,Proutista,2062851.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Proutista moesta (Westwood, 1851)",Proutista moesta,2062873.0,ACCEPTED,False,2062873,Proutista moesta
Lamenia caliginea,Insecta,216,100,Derbidae,4247.0,Lamenia,2063214.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Lamenia caliginea (Stål, 1854)",Lamenia caliginea,2063240.0,ACCEPTED,False,2063240,Lamenia caliginea
Ischnaspis longirostris,Insecta,216,99,Diaspididae,4521.0,Ischnaspis,2083123.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Ischnaspis longirostris (Signoret, 1882)",Ischnaspis longirostris,5161411.0,ACCEPTED,False,5161411,Ischnaspis longirostris
Pseudococcus microadonidum,Insecta,216,100,Pseudococcidae,4534.0,Pseudococcus,2081087.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pseudococcus microadonidum Beardsley, 1966",Pseudococcus microadonidum,2095276.0,ACCEPTED,False,2095276,Pseudococcus microadonidum
Pseudococcus orchidicola,Insecta,216,100,Pseudococcidae,4534.0,Pseudococcus,2081087.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pseudococcus orchidicola Takahashi, 1939",Pseudococcus orchidicola,2095308.0,ACCEPTED,False,2095308,Pseudococcus orchidicola
Diaspis boisduvalii,Insecta,216,99,Diaspididae,4521.0,Diaspis,2087402.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Diaspis boisduvalii Signoret, 1869",Diaspis boisduvalii,2087459.0,ACCEPTED,False,2087459,Diaspis boisduvalii
Saissetia coffeae,Insecta,216,99,Coccidae,6963.0,Saissetia,2091083.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Saissetia coffeae (Walker, 1852)",Saissetia coffeae,5163470.0,ACCEPTED,False,5163470,Saissetia coffeae
Chrysomphalus dictyospermi,Insecta,216,99,Diaspididae,4521.0,Chrysomphalus,2083434.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Chrysomphalus dictyospermi (Morgan, 1889)",Chrysomphalus dictyospermi,2083463.0,ACCEPTED,False,2083463,Chrysomphalus dictyospermi
Coccus viridis,Insecta,216,99,Coccidae,6963.0,Coccus,2049629.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Coccus viridis (Green, 1889)",Coccus viridis,5163369.0,ACCEPTED,False,5163369,Coccus viridis
Coccus hesperidum,Insecta,216,99,Coccidae,6963.0,Coccus,2049629.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Coccus hesperidum Linnaeus, 1758",Coccus hesperidum,5712981.0,ACCEPTED,False,5712981,Coccus hesperidum
Steatococcus samaraius,Insecta,216,100,Margarodidae,8651.0,Steatococcus,2079873.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Steatococcus samaraius Morrison, 1927",Steatococcus samaraius,2079883.0,ACCEPTED,False,2079883,Steatococcus samaraius
Aonidiella inornata,Insecta,216,100,Diaspididae,4521.0,Aonidiella,2082961.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aonidiella inornata McKenzie, 1938",Aonidiella inornata,2083004.0,ACCEPTED,False,2083004,Aonidiella inornata
Aonidiella,Insecta,216,96,Diaspididae,4521.0,Aonidiella,2082961.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,"Aonidiella Berlese & Leonardi, 1895",,,ACCEPTED,False,2082961,Aonidiella aurantii
Pentalonia nigronervosa,Insecta,216,100,Aphididae,3042.0,Pentalonia,2074687.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pentalonia nigronervosa Coquerel, 1859",Pentalonia nigronervosa,2074692.0,ACCEPTED,False,2074692,Pentalonia nigronervosa
Aphis gossypii,Insecta,216,99,Aphididae,3042.0,Aphis,8643682.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aphis gossypii Glover, 1877",Aphis gossypii,2072734.0,ACCEPTED,False,2072734,Aphis gossypii
Spodoptera litura,Insecta,216,100,Noctuidae,7015.0,Spodoptera,1765207.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Spodoptera litura Fabricius, 1775",Spodoptera litura,5109882.0,ACCEPTED,False,5109882,Spodoptera litura
Erionota thrax,Insecta,216,100,Hesperiidae,6953.0,Erionota,1946721.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Erionota thrax Linnaeus, 1767",Erionota thrax,1946737.0,ACCEPTED,False,1946737,Erionota thrax
Eudocima fullonia,Insecta,216,99,Noctuidae,7015.0,Othreis,1772611.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Eudocima fullonia (Clerck, 1764)",Othreis fullonia,1772630.0,SYNONYM,True,4687390,Eudocima fullonia
Valanga excavata,Insecta,216,100,Acrididae,9394.0,Valanga,1707447.0,Animalia,1,EXACT,,Orthoptera,1458,Arthropoda,54,SPECIES,"Valanga excavata (Stål, 1861)",Valanga excavata,1707539.0,ACCEPTED,False,1707539,Valanga excavata
Valanga nigricornis,Insecta,216,100,Acrididae,9394.0,Valanga,1707447.0,Animalia,1,EXACT,,Orthoptera,1458,Arthropoda,54,SPECIES,"Valanga nigricornis (Burmeister, H., 1838)",Valanga nigricornis,1707497.0,ACCEPTED,False,1707497,Valanga nigricornis
Phaseolus,Magnoliopsida,220,97,Fabaceae,5386.0,Phaseolus,2947798.0,Plantae,6,EXACT,,Fabales,1370,Tracheophyta,7707728,GENUS,Phaseolus L.,,,ACCEPTED,False,2947798,Phaseolus
Polyphagotarsonemus latus,Arachnida,367,100,Tarsonemidae,6059.0,Polyphagotarsonemus,2131853.0,Animalia,1,EXACT,,Prostigmata,372,Arthropoda,54,SPECIES,"Polyphagotarsonemus latus (Banks, 1904)",Polyphagotarsonemus latus,2131854.0,ACCEPTED,False,2131854,Polyphagotarsonemus latus
Tetranychus tumidus,Arachnida,367,100,Tetranychidae,6057.0,Tetranychus,2130777.0,Animalia,1,EXACT,,Prostigmata,372,Arthropoda,54,SPECIES,"Tetranychus tumidus Banks, 1900",Tetranychus tumidus,2130247.0,ACCEPTED,False,2130247,Tetranychus tumidus
Pagria signata,Insecta,216,100,Chrysomelidae,7780.0,Pagria,1047956.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Pagria signata (Motschulsky, 1858)",Pagria signata,1047957.0,ACCEPTED,False,1047957,Pagria signata
Ophiomyia phaseoli,Insecta,216,100,Agromyzidae,3329.0,Ophiomyia,1552947.0,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Ophiomyia phaseoli (Tryon, 1951)",Ophiomyia phaseoli,1553148.0,ACCEPTED,False,1553148,Ophiomyia phaseoli
Melanagromyza sojae,Insecta,216,100,Agromyzidae,3329.0,Melanagromyza,1554236.0,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Melanagromyza sojae Zehntner, 1900",Melanagromyza sojae,1554642.0,ACCEPTED,False,1554642,Melanagromyza sojae
Liriomyza sativae,Insecta,216,100,Agromyzidae,3329.0,Liriomyza,1553283.0,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Liriomyza sativae Blanchard, 1938",Liriomyza sativae,1553757.0,ACCEPTED,False,1553757,Liriomyza sativae
Liriomyza trifolii,Insecta,216,100,Agromyzidae,3329.0,Liriomyza,1553283.0,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Liriomyza trifolii Burgess, 1880",Liriomyza trifolii,1553384.0,ACCEPTED,False,1553384,Liriomyza trifolii
Nysius,Insecta,216,96,Lygaeidae,7888.0,Nysius,2007771.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,"Nysius Dallas, 1852",,,ACCEPTED,False,2007771,Nysius pulchellus
Lygus trukensis,Insecta,216,100,Miridae,4319.0,Lygus,2010563.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Lygus trukensis Carvalho, 1956",Lygus trukensis,8054296.0,ACCEPTED,False,8054296,Lygus trukensis
Brachyplatys,Insecta,216,96,Plataspidae,9652.0,Brachyplatys,5431403.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,"Brachyplatys Boisduval, 1835",,,ACCEPTED,False,5431403,Brachyplatys insularis
Nezara viridula,Insecta,216,100,Pentatomidae,9650.0,Nezara,2078851.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Nezara viridula (Linnaeus, 1758)",Nezara viridula,2078852.0,ACCEPTED,False,2078852,Nezara viridula
Piezodorus,Insecta,216,96,Pentatomidae,9650.0,Piezodorus,2078820.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,"Piezodorus Fieber, 1860",,,ACCEPTED,False,2078820,Piezodorus hybneri
Halticus tibialis,Insecta,216,100,Miridae,4319.0,Halticus,2010238.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Halticus tibialis Reuter, 1891",Halticus tibialis,5812901.0,ACCEPTED,False,5812901,Halticus tibialis
Coptosoma,Insecta,216,95,Plataspidae,9652.0,Coptosoma,3265959.0,Animalia,1,HIGHERRANK,,Hemiptera,809,Arthropoda,54,GENUS,"Coptosoma de Laporte, 1832",,,ACCEPTED,False,3265959,Coptosoma xanthogramma
Empoasca pitiensis,Insecta,216,100,Cicadellidae,9647.0,Empoasca,8222044.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Empoasca pitiensis Metcalf, 1946",Empoasca pitiensis,5986019.0,ACCEPTED,False,5986019,Empoasca pitiensis
Leptocentrus taurus,Insecta,216,100,Membracidae,7889.0,Leptocentrus,2021984.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,Leptocentrus taurus Fabricius,Leptocentrus taurus,2022062.0,ACCEPTED,False,2022062,Leptocentrus taurus
Exitianus capicola,Insecta,216,100,Cicadellidae,9647.0,Exitianus,2048891.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Exitianus capicola Stål, 1855",Exitianus capicola,2048896.0,ACCEPTED,False,2048896,Exitianus capicola
Bemisia tabaci,Insecta,216,100,Aleyrodidae,4304.0,Bemisia,2012123.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Bemisia tabaci (Gennadius, 1889)",Bemisia tabaci,2012126.0,ACCEPTED,False,2012126,Bemisia tabaci
Myzus persicae,Insecta,216,99,Aphididae,3042.0,Myzus,2076150.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Myzus persicae (Sulzer, 1776)",Myzus persicae,2076179.0,ACCEPTED,False,2076179,Myzus persicae
Aphis craccivora,Insecta,216,99,Aphididae,3042.0,Aphis,8643682.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aphis craccivora Koch, C.L., 1854",Aphis craccivora,8414954.0,ACCEPTED,False,8414954,Aphis craccivora
Maruca testulalis,Insecta,216,100,Crambidae,8841.0,Maruca,1886725.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Maruca testulalis Geyer, 1832",Maruca testulalis,1886730.0,ACCEPTED,False,1886730,Maruca testulalis
Spodoptera mauritia,Insecta,216,100,Noctuidae,7015.0,Spodoptera,1765207.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Spodoptera mauritia Boisduval, 1833",Spodoptera mauritia,5109848.0,ACCEPTED,False,5109848,Spodoptera mauritia
Cryptophlebia ombrodelta,Insecta,216,100,Tortricidae,5343.0,Cryptophlebia,1736951.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Cryptophlebia ombrodelta Lower, 1898",Cryptophlebia ombrodelta,1737015.0,ACCEPTED,False,1737015,Cryptophlebia ombrodelta
Etiella zinckenella,Insecta,216,100,Pyralidae,5336.0,Etiella,1870449.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Etiella zinckenella Treitschke, 1832",Etiella zinckenella,1870450.0,ACCEPTED,False,1870450,Etiella zinckenella
Lamprosema,Insecta,216,96,Crambidae,8841.0,Lamprosema,1891594.0,Animalia,1,HIGHERRANK,,Lepidoptera,797,Arthropoda,54,GENUS,"Lamprosema Hübner, 1823",,,ACCEPTED,False,1891594,Lamprosema diemenalis
Adoxophyes melia,Insecta,216,100,Tortricidae,5343.0,Adoxophyes,1740434.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Adoxophyes melia Clarke, 1976",Adoxophyes melia,1740496.0,ACCEPTED,False,1740496,Adoxophyes melia
Acrocercops,Insecta,216,97,Gracillariidae,5487.0,Acrocercops,1750759.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,GENUS,"Acrocercops Wallengren, 1881",,,ACCEPTED,False,1750759,Acrocercops
Sphenarches caffer,Insecta,216,100,Pterophoridae,8863.0,Sphenarches,1859925.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Sphenarches caffer Zeller, 1852",Sphenarches caffer,1859927.0,ACCEPTED,False,1859927,Sphenarches caffer
Agrius convolvuli,Insecta,216,100,Sphingidae,8868.0,Agrius,1861607.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Agrius convolvuli Linnaeus, 1758",Agrius convolvuli,1861644.0,ACCEPTED,False,1861644,Agrius convolvuli
Lampides boeticus,Insecta,216,100,Lycaenidae,5473.0,Lampides,1924564.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Lampides boeticus (Linnaeus, 1767)",Lampides boeticus,1924713.0,ACCEPTED,False,1924713,Lampides boeticus
Heliothis,Insecta,216,95,Noctuidae,7015.0,Heliothis,7742506.0,Animalia,1,HIGHERRANK,,Lepidoptera,797,Arthropoda,54,GENUS,"Heliothis Ochsenheimer, 1816",,,ACCEPTED,False,7742506,Heliothis armigera
Chrysodeixis chalcites,Insecta,216,100,Noctuidae,7015.0,Chrysodeixis,1785140.0,Animalia,1,EXACT,,Lepidoptera,797,Arthropoda,54,SPECIES,"Chrysodeixis chalcites Esper, 1789",Chrysodeixis chalcites,1785185.0,ACCEPTED,False,1785185,Chrysodeixis chalcites
Phaneroptera furcifera,Insecta,216,100,Tettigoniidae,3991.0,Phaneroptera,1686201.0,Animalia,1,EXACT,,Orthoptera,1458,Arthropoda,54,SPECIES,"Phaneroptera furcifera Stål, 1861",Phaneroptera furcifera,1686219.0,ACCEPTED,False,1686219,Phaneroptera furcifera
Thrips palmi,Insecta,216,100,Thripidae,4387.0,Thrips,1420882.0,Animalia,1,EXACT,,Thysanoptera,1228,Arthropoda,54,SPECIES,"Thrips palmi Karny, 1925",Thrips palmi,1420906.0,ACCEPTED,False,1420906,Thrips palmi
Thrips tabaci,Insecta,216,100,Thripidae,4387.0,Thrips,1420882.0,Animalia,1,EXACT,,Thysanoptera,1228,Arthropoda,54,SPECIES,"Thrips tabaci Lindeman, 1889",Thrips tabaci,1420961.0,ACCEPTED,False,1420961,Thrips tabaci
Cynodon,Liliopsida,196,97,Poaceae,3073.0,Cynodon,2703525.0,Plantae,6,EXACT,,Poales,1369,Tracheophyta,7707728,GENUS,Cynodon Rich.,,,ACCEPTED,False,2703525,Cynodon
Antonina graminis,Insecta,216,99,Pseudococcidae,4534.0,Antonina,2082478.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Antonina graminis (Maskell, 1897)",Antonina graminis,8082584.0,ACCEPTED,False,8082584,Antonina graminis
Marasmia,Insecta,216,94,Crambidae,8841.0,Marasmia,4687217.0,Animalia,1,HIGHERRANK,,Lepidoptera,797,Arthropoda,54,GENUS,"Marasmia Lederer, 1863",,,DOUBTFUL,False,4687217,Marasmia venilialis
Areca catechu,Liliopsida,196,100,Arecaceae,7681.0,Areca,2736518.0,Plantae,6,EXACT,,Arecales,552,Tracheophyta,7707728,SPECIES,Areca catechu L.,Areca catechu,2736531.0,ACCEPTED,False,2736531,Areca catechu
Rhabdoscelus obscurus,Insecta,216,100,Curculionidae,4239.0,Rhabdoscelus,3263747.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Rhabdoscelus obscurus (Boisduval, 1835)",Rhabdoscelus obscurus,4291564.0,ACCEPTED,False,4291564,Rhabdoscelus obscurus
